ticker,market_date,price,open,high,low,volume,change
ETH,9/8/2020,337.46,352.06,355.69,326.66,18.98M,-4.15%
ETH,9/7/2020,352.06,353.49,357.33,325.47,21.69M,-0.40%
ETH,9/6/2020,353.49,334.91,358.09,316.69,20.13M,5.55%
ETH,9/5/2020,334.91,385.94,394.12,314.13,35.32M,-13.22%
ETH,9/4/2020,385.94,381.97,399.58,368.22,25.20M,1.04%
ETH,9/3/2020,381.97,439.14,466.4,376.99,33.59M,-13.01%
ETH,9/2/2020,439.08,475.72,480.96,423.26,30.14M,-7.72%
ETH,9/1/2020,475.8,433.89,488.24,429.65,10.42M,9.65%
ETH,8/31/2020,433.9,428.81,438.71,418.35,7.89M,1.18%
ETH,8/30/2020,428.86,398.8,429.59,398.47,6.67M,7.54%
ETH,8/29/2020,398.8,395.32,405.53,391.97,5.23M,0.93%
ETH,8/28/2020,395.11,383.16,397.64,379.8,6.16M,3.13%
ETH,8/27/2020,383.11,385.96,396.48,372.53,7.03M,-0.74%
ETH,8/26/2020,385.96,383.16,392.61,377.63,6.69M,0.72%
ETH,8/25/2020,383.2,407.64,409.02,370.4,8.28M,-6.01%
ETH,8/24/2020,407.7,390.81,410.17,387.62,6.69M,4.40%
ETH,8/23/2020,390.5,395.56,396.96,383.42,5.36M,-1.28%
ETH,8/22/2020,395.56,388.06,396.87,379.96,6.73M,1.95%
ETH,8/21/2020,387.99,416.05,418.72,385.21,7.62M,-6.75%
ETH,8/20/2020,416.05,407.39,418.92,402.8,6.23M,2.11%
ETH,8/19/2020,407.44,422.1,426.65,394.51,8.44M,-3.49%
ETH,8/18/2020,422.16,430.63,433.65,415.45,8.18M,-1.95%
ETH,8/17/2020,430.56,433.62,444.86,420.71,7.83M,-0.71%
ETH,8/16/2020,433.63,432.22,436.58,413.22,7.02M,0.34%
ETH,8/15/2020,432.18,438.04,442.7,428.75,7.27M,-1.34%
ETH,8/14/2020,438.03,424.28,443.74,418.37,8.67M,3.23%
ETH,8/13/2020,424.31,387.15,430.33,377.57,12.04M,9.61%
ETH,8/12/2020,387.12,379.03,389.21,367.05,8.59M,2.14%
ETH,8/11/2020,379.01,395.52,398.13,367.38,9.44M,-4.18%
ETH,8/10/2020,395.53,390.22,399.05,386.45,8.01M,1.36%
ETH,8/9/2020,390.23,396.78,399.93,384.31,4.97M,-1.65%
ETH,8/8/2020,396.76,379.57,396.77,376.38,4.94M,4.53%
ETH,8/7/2020,379.57,394.8,398.14,366.44,8.34M,-3.86%
ETH,8/6/2020,394.83,400.8,403.18,391.67,7.92M,-1.49%
ETH,8/5/2020,400.79,389.62,406.92,384.84,8.74M,2.87%
ETH,8/4/2020,389.62,385.86,402.01,381.3,9.84M,0.99%
ETH,8/3/2020,385.8,372.26,397.73,368.46,9.92M,3.69%
ETH,8/2/2020,372.08,387.15,415.08,335.76,16.38M,-3.89%
ETH,8/1/2020,387.14,346.48,392.37,343.33,11.03M,11.73%
ETH,7/31/2020,346.51,334.84,349.34,329.02,8.69M,3.48%
ETH,7/30/2020,334.87,317.79,341.11,314.83,9.07M,5.36%
ETH,7/29/2020,317.82,316.95,324.93,312.64,8.72M,0.27%
ETH,7/28/2020,316.96,321.82,326.53,306.4,9.91M,-1.50%
ETH,7/27/2020,321.8,311.12,332.57,311.04,13.73M,3.43%
ETH,7/26/2020,311.13,305.32,318.54,300.33,9.19M,1.90%
ETH,7/25/2020,305.32,279.33,308.57,279.33,8.59M,9.30%
ETH,7/24/2020,279.33,275.33,287.01,268.54,7.17M,1.45%
ETH,7/23/2020,275.34,263.29,279.53,260.7,8.79M,4.58%
ETH,7/22/2020,263.28,245.54,266.42,241.89,6.68M,7.23%
ETH,7/21/2020,245.53,236.1,246.49,235.67,6.29M,3.99%
ETH,7/20/2020,236.1,239.03,239.71,234.51,5.36M,-1.22%
ETH,7/19/2020,239.01,235.72,239.7,233.35,6.61M,1.38%
ETH,7/18/2020,235.75,232.77,236.83,232.4,5.79M,1.29%
ETH,7/17/2020,232.75,233.65,234.53,231.84,5.88M,-0.39%
ETH,7/16/2020,233.65,238.62,239.47,230.44,6.63M,-2.08%
ETH,7/15/2020,238.62,240.49,241.36,237.04,7.35M,-0.78%
ETH,7/14/2020,240.5,239.75,242.08,237.21,7.07M,0.32%
ETH,7/13/2020,239.73,242.84,245.04,237.71,8.32M,-1.24%
ETH,7/12/2020,242.75,239.2,243.79,236.91,6.81M,1.48%
ETH,7/11/2020,239.2,241.21,241.64,237.76,6.42M,-0.85%
ETH,7/10/2020,241.26,242.01,242.17,236.19,6.84M,-0.32%
ETH,7/9/2020,242.02,246.93,247.63,238.28,9.02M,-2.01%
ETH,7/8/2020,246.99,239.26,248.76,238,12.98M,3.24%
ETH,7/7/2020,239.25,241.56,243.43,234.92,6.26M,-0.95%
ETH,7/6/2020,241.56,227.95,241.64,227.1,9.45M,5.96%
ETH,7/5/2020,227.98,229.09,229.8,223.79,5.41M,-0.51%
ETH,7/4/2020,229.15,225.09,230.4,224.8,5.45M,1.79%
ETH,7/3/2020,225.12,226.42,228.14,224.77,5.20M,-0.57%
